,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes,Year
64,PORSCHE,911 GT3,M-6,4.0L,6cyl,16,14,18,"$3,800",3,"['PR', 'Tax']",2023
65,PORSCHE,911 GT3 RS,AM-S7,4.0L,6cyl,16,14,18,"$3,800",3,"['PR', 'Tax', 'SS']",2023
66,PORSCHE,911 GT3 Touring,AM-S7,4.0L,6cyl,16,15,18,"$3,800",3,"['PR', 'Tax', 'SS']",2023
67,PORSCHE,911 GT3 Touring,M-6,4.0L,6cyl,16,14,18,"$3,800",3,"['PR', 'Tax']",2023
68,RUF AUTOMOBILE,T12/CTR3/CTR Anniversary,M-7,3.8L,6cyl,19,17,22,"$3,200",4,"['PR', 'T']",2023
69,TOYOTA,GR Supra,A-S8,2.0L,4cyl,27,25,31,"$2,250",5,"['P', 'T', 'SS']",2023
70,TOYOTA,GR Supra,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']",2023
71,TOYOTA,GR Supra,M-6,3.0L,6cyl,21,19,27,"$2,900",4,"['P', 'T']",2023
72,ASTON MARTIN,DB11 V12,A-8,5.2L,12cyl,17,14,22,"$3,600",3,"['P', 'T', 'Tax', 'CD']",2023
73,ASTON MARTIN,DB11 V8,A-8,4.0L,8cyl,20,18,24,"$3,050",4,"['P', 'T']",2023
74,ASTON MARTIN,DBS,A-8,5.2L,12cyl,17,14,22,"$3,600",3,"['P', 'T', 'Tax', 'CD']",2023
75,BENTLEY,Continental GT Convertible,AM-S8,4.0L,8cyl,18,15,22,"$3,400",4,"['PR', 'T', 'Tax', 'CD', 'SS']",2023
76,BENTLEY,Continental GT Convertible Speed,AM-S8,6.0L,12cyl,14,12,18,"$4,350",2,"['P', 'T', 'Tax', 'CD', 'SS']",2023
77,FERRARI,Portono M,AM-8,3.9L,8cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']",2023
78,LEXUS,LC 500 Convertible,A-S10,5.0L,8cyl,18,15,25,"$3,400",4,['PR'],2023
79,MERCEDES-BENZ,AMG SL55 4matic Plus,A-9,4.0L,8cyl,16,13,21,"$3,800",3,"['PR', 'T', 'Tax', 'SS']",2023
80,MERCEDES-BENZ,AMG SL63 4matic Plus,A-9,4.0L,8cyl,16,14,22,"$3,800",3,"['PR', 'T', 'Tax', 'SS']",2023
