,Car Type,Manufacturer,Model,Trans,Eng Size,Cyl,MPG Comb,MPG City,MPG Hwy,Annual Fuel Cost,GHG Rating,Notes
186,COMPACT CARS,AUDI,A4 quattro,AM-S7,2.0L,4cyl,30,26,35,"$2,050",6,"['P', 'T', 'MHEV', 'SS']"
187,COMPACT CARS,AUDI,A4 S line quattro,AM-S7,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
188,COMPACT CARS,AUDI,S4,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
189,COMPACT CARS,BMW,228i Gran Coupe,A-S8,2.0L,4cyl,28,24,34,"$2,200",6,"['P', 'T', 'SS']"
190,COMPACT CARS,BMW,228i xDrive Gran Coupe,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
191,COMPACT CARS,BMW,330i Sedan,A-S8,2.0L,4cyl,29,25,34,"$2,100",6,"['P', 'T', 'SS']"
192,COMPACT CARS,BMW,330i xDrive Sedan,A-S8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']"
193,COMPACT CARS,BMW,430i Gran Coupe,A-S8,2.0L,4cyl,28,25,34,"$2,200",6,"['P', 'T', 'SS']"
194,COMPACT CARS,BMW,430i xDrive Gran Coupe,A-S8,2.0L,4cyl,27,23,33,"$2,250",5,"['P', 'T', 'SS']"
195,COMPACT CARS,BMW,M235i xDrive Gran Coupe,A-S8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']"
196,COMPACT CARS,BMW,M3 Competition M xDrive Sedan,A-S8,3.0L,6cyl,18,16,22,"$3,400",4,"['PR', 'T', 'SS']"
197,COMPACT CARS,BMW,M3 Competition Sedan,A-S8,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T', 'SS']"
198,COMPACT CARS,BMW,M3 CS Sedan,A-S8,3.0L,6cyl,18,15,22,"$3,400",4,"['PR', 'T', 'SS']"
199,COMPACT CARS,BMW,M3 Sedan,M-6,3.0L,6cyl,19,16,23,"$3,200",4,"['PR', 'T']"
200,COMPACT CARS,BMW,M340i Sedan,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']"
201,COMPACT CARS,BMW,M340i xDrive Sedan,A-S8,3.0L,6cyl,26,23,31,"$2,350",5,"['P', 'T', 'MHEV', 'SS']"
202,COMPACT CARS,BMW,M440i Gran Coupe,A-S8,3.0L,6cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
203,COMPACT CARS,BMW,M440i xDrive Gran Coupe,A-S8,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'MHEV', 'SS']"
204,COMPACT CARS,CADILLAC,CT4,A-S8,2.0L,4cyl,26,22,32,"$2,350",5,"['PR', 'T', 'CD', 'SS']"
205,COMPACT CARS,CADILLAC,CT4,A-S10,2.7L,4cyl,25,21,31,"$2,450",5,"['PR', 'T', 'CD', 'SS']"
206,COMPACT CARS,CADILLAC,CT4 AWD,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['PR', 'T', 'CD', 'SS']"
207,COMPACT CARS,CADILLAC,CT4 AWD,A-S10,2.7L,4cyl,24,21,29,"$2,550",5,"['PR', 'T', 'CD', 'SS']"
208,COMPACT CARS,CADILLAC,CT4 V,A-S10,2.7L,4cyl,23,20,29,"$2,650",5,"['PR', 'T', 'CD', 'SS']"
209,COMPACT CARS,CADILLAC,CT4 V,A-S10,3.6L,6cyl,19,16,24,"$3,200",4,"['PR', 'T']"
210,COMPACT CARS,CADILLAC,CT4 V,M-6,3.6L,6cyl,18,15,23,"$3,400",4,"['PR', 'T']"
211,COMPACT CARS,CADILLAC,CT4 V AWD,A-S10,2.7L,4cyl,23,20,28,"$2,650",5,"['PR', 'T', 'CD', 'SS']"
212,COMPACT CARS,GENESIS,G70 AWD,A-S8,2.5L,4cyl,23,20,28,"$2,650",5,"['P', 'T']"
213,COMPACT CARS,GENESIS,G70 RWD,A-S8,2.5L,4cyl,24,21,29,"$2,550",5,"['P', 'T']"
214,COMPACT CARS,LEXUS,IS 300,A-S8,2.0L,4cyl,25,21,31,"$2,450",5,"['PR', 'T']"
215,COMPACT CARS,LEXUS,IS 300 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR']
216,COMPACT CARS,LEXUS,IS 350,A-S8,3.5L,6cyl,23,20,28,"$2,650",5,['PR']
217,COMPACT CARS,LEXUS,IS 350 AWD,A-S6,3.5L,6cyl,22,19,26,"$2,800",5,['PR']
218,COMPACT CARS,LEXUS,IS 500,A-S8,5.0L,8cyl,20,17,25,"$3,050",4,['PR']
219,COMPACT CARS,LEXUS,UX 250h,AV-S6,2.0L,4cyl,42,43,41,"$1,150",7,"['MHEV', 'SS']"
220,COMPACT CARS,LEXUS,UX 250h AWD,AV-S6,2.0L,4cyl,39,41,38,"$1,200",7,"['MHEV', 'SS']"
221,COMPACT CARS,MAZDA,3 4-Door 2WD,A-S6,2.5L,4cyl,31,27,37,"$1,550",6,['CD']
222,COMPACT CARS,MAZDA,3 4-Door 4WD,A-S6,2.5L,4cyl,30,26,35,"$1,600",6,['CD']
223,COMPACT CARS,MAZDA,3 4-Door 4WD,A-S6,2.5L,4cyl,27,23,32,"$1,750",5,['T']
224,COMPACT CARS,MERCEDES-BENZ,AMG C43 4matic,A-9,2.0L,4cyl,23,20,28,"$2,650",5,"['PR', 'T', 'MHEV', 'SS']"
225,COMPACT CARS,MERCEDES-BENZ,AMG CLA35 4matic,AM-8,2.0L,4cyl,25,22,29,"$2,450",5,"['PR', 'T', 'MHEV', 'SS']"
226,COMPACT CARS,MERCEDES-BENZ,AMG CLA45 S 4matic,AM-8,2.0L,4cyl,23,20,28,"$2,650",5,"['PR', 'T', 'SS']"
227,COMPACT CARS,MERCEDES-BENZ,AMG GT 43 4matic Plus,A-9,3.0L,6cyl,21,19,24,"$2,900",4,"['PR', 'MHEV', 'SS']"
228,COMPACT CARS,MERCEDES-BENZ,AMG GT 53 4matic Plus,A-9,3.0L,6cyl,21,19,24,"$2,900",4,"['PR', 'MHEV', 'SS']"
229,COMPACT CARS,MERCEDES-BENZ,AMG GT 63 4matic Plus,A-9,4.0L,8cyl,17,15,21,"$3,600",3,"['PR', 'T', 'CD', 'SS']"
230,COMPACT CARS,MERCEDES-BENZ,C300,A-9,2.0L,4cyl,30,26,36,"$2,050",6,"['PR', 'T', 'MHEV', 'SS']"
231,COMPACT CARS,MERCEDES-BENZ,C300 4matic,A-9,2.0L,4cyl,27,23,33,"$2,250",5,"['PR', 'T', 'MHEV', 'SS']"
232,COMPACT CARS,MERCEDES-BENZ,CLA250,AM-8,2.0L,4cyl,30,26,36,"$2,050",6,"['PR', 'T', 'MHEV', 'SS']"
233,COMPACT CARS,MERCEDES-BENZ,CLA250 4matic,AM-8,2.0L,4cyl,28,25,35,"$2,200",6,"['PR', 'T', 'MHEV', 'SS']"
234,COMPACT CARS,MITSUBISHI,Mirage,AV,1.2L,3cyl,39,36,43,"$1,200",7,[]
235,COMPACT CARS,MITSUBISHI,Mirage G4,AV,1.2L,3cyl,37,35,41,"$1,300",7,[]
236,COMPACT CARS,NISSAN,Versa,AV,1.6L,4cyl,35,32,40,"$1,350",7,[]
237,COMPACT CARS,NISSAN,Versa,M-5,1.6L,4cyl,30,27,35,"$1,600",6,[]
238,COMPACT CARS,TOYOTA,Corolla,AV-S10,2.0L,4cyl,35,32,41,"$1,350",7,[]
239,COMPACT CARS,TOYOTA,Corolla,AV-S10,2.0L,4cyl,34,31,40,"$1,400",7,['3-Mode']
240,COMPACT CARS,TOYOTA,Corolla Hatchback,AV-S10,2.0L,4cyl,35,32,41,"$1,350",7,[]
241,COMPACT CARS,TOYOTA,Corolla Hatchback XSE,AV-S10,2.0L,4cyl,33,30,38,"$1,450",6,[]
242,COMPACT CARS,TOYOTA,Corolla Hybrid,AV,1.8L,4cyl,50,53,46,$950,8,"['HEV', 'SS']"
243,COMPACT CARS,TOYOTA,Corolla Hybrid,AV,1.8L,4cyl,47,50,43,"$1,000",8,"['HEV', 'SS']"
244,COMPACT CARS,TOYOTA,Corolla Hybrid AWD,AV,1.8L,4cyl,48,51,44,"$1,000",8,"['HEV', 'SS']"
245,COMPACT CARS,TOYOTA,Corolla Hybrid AWD,AV,1.8L,4cyl,44,47,41,"$1,100",8,"['HEV', 'SS']"
246,COMPACT CARS,VOLKSWAGEN,GLI,AM-S7,2.0L,4cyl,30,26,36,"$1,600",6,"['T', 'SS']"
247,COMPACT CARS,VOLKSWAGEN,GLI,M-6,2.0L,4cyl,28,24,35,"$1,700",6,['T']
248,COMPACT CARS,VOLKSWAGEN,Golf R,AM-S7,2.0L,4cyl,25,22,31,"$2,450",5,"['P', 'T', 'SS']"
249,COMPACT CARS,VOLKSWAGEN,Golf R,M-6,2.0L,4cyl,23,20,28,"$2,650",5,"['P', 'T']"
250,COMPACT CARS,VOLKSWAGEN,GTI,AM-S7,2.0L,4cyl,27,24,33,"$1,750",5,"['T', 'SS']"
251,COMPACT CARS,VOLKSWAGEN,GTI,M-6,2.0L,4cyl,27,23,34,"$1,750",5,['T']
252,COMPACT CARS,VOLKSWAGEN,Jetta,A-S8,1.5L,4cyl,34,30,41,"$1,400",7,"['T', 'SS']"
253,COMPACT CARS,VOLKSWAGEN,Jetta,M-6,1.5L,4cyl,34,29,42,"$1,400",7,['T']
254,COMPACT CARS,VOLKSWAGEN,Jetta Sport/SE/SEL,A-S8,1.5L,4cyl,33,29,40,"$1,450",6,"['T', 'SS']"
255,COMPACT CARS,VOLVO,S60 B5,A-S8,2.0L,4cyl,30,26,35,"$2,050",6,"['PR', 'T', 'MHEV', 'SS']"
256,COMPACT CARS,VOLVO,S60 B5 AWD,A-S8,2.0L,4cyl,28,25,33,"$2,200",6,"['PR', 'T', 'MHEV', 'SS']"
257,MIDSIZE CARS,ALFA ROMEO,Giulia,A-8,2.0L,4cyl,27,24,33,"$2,250",5,"['P', 'T', 'SS']"
258,MIDSIZE CARS,ALFA ROMEO,Giulia,A-8,2.9L,6cyl,20,17,25,"$3,050",4,"['P', 'T', 'CD', 'SS']"
259,MIDSIZE CARS,ALFA ROMEO,Giulia AWD,A-8,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']"
260,MIDSIZE CARS,AUDI,A5 Sportback quattro,AM-S7,2.0L,4cyl,30,26,35,"$2,050",6,"['P', 'T', 'MHEV', 'SS']"
261,MIDSIZE CARS,AUDI,A5 Sportback S line quattro,AM-S7,2.0L,4cyl,27,24,32,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
262,MIDSIZE CARS,AUDI,A6 quattro,AM-S7,2.0L,4cyl,26,23,33,"$2,350",5,"['P', 'T', 'MHEV', 'SS']"
263,MIDSIZE CARS,AUDI,A6 quattro,AM-S7,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'MHEV', 'SS']"
264,MIDSIZE CARS,AUDI,A7 quattro,AM-S7,3.0L,6cyl,25,22,30,"$2,450",5,"['P', 'T', 'MHEV', 'SS']"
265,MIDSIZE CARS,AUDI,RS 5 Sportback,A-S8,2.9L,6cyl,20,18,25,"$3,050",4,"['P', 'T']"
266,MIDSIZE CARS,AUDI,RS 7,A-S8,4.0L,8cyl,17,14,22,"$3,600",3,"['P', 'T', 'Tax', 'CD', 'MHEV']"
267,MIDSIZE CARS,SS,S5 Sportback,A-S8,3.0L,6cyl,23,20,29,"$2,650",5,"['P', 'T', 'SS']"
268,MIDSIZE CARS,SS,S6,A-S8,2.9L,6cyl,22,19,26,"$2,800",5,"['P', 'MHEV', 'SS']"
269,MIDSIZE CARS,SS,S7,A-S8,2.9L,6cyl,22,19,26,"$2,800",5,"['P', 'MHEV', 'SS']"
270,MIDSIZE CARS,BENTLEY,Flying Spur,AM-S8,4.0L,8cyl,17,15,20,"$3,600",3,"['PR', 'T', 'Tax', 'CD', 'SS']"
271,MIDSIZE CARS,BENTLEY,Flying Spur,AM-S8,6.0L,12cyl,15,12,19,"$4,100",2,"['P', 'T', 'Tax', 'CD', 'SS']"
272,MIDSIZE CARS,BMW,530i Sedan,A-S8,2.0L,4cyl,30,27,35,"$2,050",6,"['P', 'T', 'MHEV', 'SS']"
273,MIDSIZE CARS,BMW,530i xDrive Sedan,A-S8,2.0L,4cyl,30,27,35,"$2,050",6,"['P', 'T', 'MHEV', 'SS']"
274,MIDSIZE CARS,BMW,540i xDrive Sedan,A-S8,3.0L,6cyl,28,26,33,"$2,200",6,"['P', 'T', 'MHEV', 'SS']"
275,MIDSIZE CARS,BMW,840i Gran Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
276,MIDSIZE CARS,BMW,840i xDrive Gran Coupe,A-S8,3.0L,6cyl,24,21,29,"$2,550",5,"['P', 'T', 'SS']"
277,MIDSIZE CARS,BMW,Alpina B8 Gran Coupe,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']"
278,MIDSIZE CARS,BMW,M8 Competition Gran Coupe,A-S8,4.4L,8cyl,17,15,22,"$3,600",3,"['PR', 'T', 'Tax', 'SS']"
279,MIDSIZE CARS,BMW,M850i xDrive Gran Coupe,A-S8,4.4L,8cyl,19,17,24,"$3,200",4,"['P', 'T', 'SS']"
280,MIDSIZE CARS,CADILLAC,CT5,A-S10,2.0L,4cyl,27,23,33,"$2,250",5,"['PR', 'T', 'CD', 'SS']"
281,MIDSIZE CARS,CADILLAC,CT5,A-S10,3.0L,6cyl,22,19,27,"$2,800",5,"['PR', 'T', 'CD', 'SS']"
282,MIDSIZE CARS,CADILLAC,CT5 AWD,A-S10,2.0L,4cyl,25,22,30,"$2,450",5,"['PR', 'T', 'CD', 'SS']"
283,MIDSIZE CARS,CADILLAC,CT5 AWD,A-S10,3.0L,6cyl,21,18,26,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
284,MIDSIZE CARS,CADILLAC,CT5 V,A-S10,3.0L,6cyl,21,18,27,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
285,MIDSIZE CARS,CADILLAC,CT5 V,A-S10,6.2L,8cyl,16,13,21,"$3,800",3,"['PR', 'S', 'Tax', 'CD']"
286,MIDSIZE CARS,CADILLAC,CT5 V,M-6,6.2L,8cyl,15,13,21,"$4,100",2,"['PR', 'S', 'Tax']"
287,MIDSIZE CARS,CADILLAC,CT5 V AWD,A-S10,3.0L,6cyl,21,18,26,"$2,900",4,"['PR', 'T', 'CD', 'SS']"
288,MIDSIZE CARS,CHEVROLET,Malibu,AV,1.5L,4cyl,31,28,36,"$1,550",6,"['T', 'SS']"
289,MIDSIZE CARS,HONDA,Accord Hybrid Sport/Touring,AV,2.0L,4cyl,44,46,41,"$1,100",8,"['HEV', 'SS']"
290,MIDSIZE CARS,HONDA,Civic 4Dr,AV,1.5L,4cyl,36,33,42,"$1,300",7,"['T', 'SS']"
291,MIDSIZE CARS,HONDA,Civic 4Dr,AV-S7,1.5L,4cyl,34,31,38,"$1,400",7,"['T', 'SS']"
292,MIDSIZE CARS,HONDA,Civic 4Dr,M-6,1.5L,4cyl,31,27,37,"$1,950",6,"['P', 'T', 'SS']"
293,MIDSIZE CARS,HONDA,Civic 4Dr,AV,2.0L,4cyl,35,31,40,"$1,350",7,['SS']
294,MIDSIZE CARS,HONDA,Civic 4Dr,AV-S7,2.0L,4cyl,33,30,37,"$1,450",6,['SS']
295,MIDSIZE CARS,HYUNDAI,Elantra,AM-S7,1.6L,4cyl,31,28,35,"$1,550",6,['T']
296,MIDSIZE CARS,HYUNDAI,Elantra,AV-S1,2.0L,4cyl,36,32,41,"$1,300",7,['SS']
297,MIDSIZE CARS,HYUNDAI,Elantra,AV-S1,2.0L,4cyl,34,31,40,"$1,400",7,[]
298,MIDSIZE CARS,HYUNDAI,Elantra Hybrid,AM-S6,1.6L,4cyl,50,49,52,$950,8,"['HEV', 'SS']"
299,MIDSIZE CARS,HYUNDAI,Elantra Hybrid Blue,AM-S6,1.6L,4cyl,54,51,58,$900,8,"['HEV', 'SS']"
300,MIDSIZE CARS,HYUNDAI,Elantra N,AM-S8,2.0L,4cyl,23,20,27,"$2,650",5,"['P', 'T']"
301,MIDSIZE CARS,HYUNDAI,Elantra N,M-6,2.0L,4cyl,24,21,29,"$2,550",5,"['P', 'T']"
302,MIDSIZE CARS,INFINITI,Q50,A-S7,3.0L,6cyl,23,20,29,"$2,650",5,"['PR', 'T']"
303,MIDSIZE CARS,INFINITI,Q50 AWD,A-S7,3.0L,6cyl,22,19,27,"$2,800",5,"['PR', 'T']"
304,MIDSIZE CARS,INFINITI,Q50 Red Sport,A-S7,3.0L,6cyl,22,20,26,"$2,800",5,"['PR', 'T']"
305,MIDSIZE CARS,INFINITI,Q50 Red Sport AWD,A-S7,3.0L,6cyl,22,19,26,"$2,800",5,"['PR', 'T']"
306,MIDSIZE CARS,JAGUAR,XF P250,A-S8,2.0L,4cyl,26,23,30,"$2,350",5,"['P', 'T', 'SS']"
307,MIDSIZE CARS,JAGUAR,XF P300 AWD,A-S8,2.0L,4cyl,24,21,28,"$2,550",5,"['P', 'T', 'SS']"
308,MIDSIZE CARS,KIA,Forte,AM-S7,1.6L,4cyl,30,27,35,"$1,600",6,['T']
309,MIDSIZE CARS,KIA,Forte,M-6,1.6L,4cyl,26,22,31,"$1,850",5,['T']
310,MIDSIZE CARS,KIA,Forte,AV,2.0L,4cyl,32,28,39,"$1,500",6,[]
311,MIDSIZE CARS,KIA,Forte FE,AV,2.0L,4cyl,34,30,41,"$1,400",7,[]
312,MIDSIZE CARS,LEXUS,ES 250 AWD,A-S8,2.5L,4cyl,28,25,34,"$1,700",6,[]
313,MIDSIZE CARS,LEXUS,ES 300h,AV-S6,2.5L,4cyl,44,43,44,"$1,100",8,"['HEV', 'SS']"
314,MIDSIZE CARS,LEXUS,ES 350,A-S8,3.5L,6cyl,26,22,32,"$1,850",5,[]
315,MIDSIZE CARS,LEXUS,ES 350 F Sport,A-S8,3.5L,6cyl,25,22,31,"$1,900",5,[]
316,MIDSIZE CARS,LEXUS,LS 500,A-S10,3.4L,6cyl,22,18,29,"$2,800",5,"['PR', 'T']"
317,MIDSIZE CARS,LEXUS,LS 500 AWD,A-S10,3.4L,6cyl,21,17,27,"$2,900",4,"['PR', 'T']"
318,MIDSIZE CARS,LEXUS,LS 500h AWD,AV-S10,3.5L,6cyl,25,22,29,"$2,450",5,"['PR', 'HEV', 'SS']"
319,MIDSIZE CARS,LEXUS,LS 500h AWD,AV-S10,3.5L,6cyl,25,22,29,"$2,450",5,"['PR', 'HEV', 'SS']"
320,MIDSIZE CARS,MASERATI,Ghibli GT,A-8,3.0L,6cyl,20,18,25,"$3,050",4,"['PR', 'T', 'SS']"
321,MIDSIZE CARS,MASERATI,Ghibli Modena AWD,A-8,3.0L,6cyl,20,17,25,"$3,050",4,"['PR', 'T', 'SS']"
322,MIDSIZE CARS,MASERATI,Ghibli Modena RWD,A-8,3.0L,6cyl,20,18,25,"$3,050",4,"['PR', 'T', 'SS']"
323,MIDSIZE CARS,MASERATI,Ghibli Trofeo,A-8,3.8L,8cyl,16,13,20,"$3,800",3,"['PR', 'T', 'Tax', 'SS']"
324,MIDSIZE CARS,MAZDA,3 5-Door 2WD,A-S6,2.5L,4cyl,30,27,35,"$1,600",6,['CD']
325,MIDSIZE CARS,MAZDA,3 5-Door 2WD,M-6,2.5L,4cyl,30,26,36,"$1,600",6,['CD']
326,MIDSIZE CARS,MAZDA,3 5-Door 4WD,A-S6,2.5L,4cyl,29,26,33,"$1,650",6,['CD']
327,MIDSIZE CARS,MAZDA,3 5-Door 4WD,A-S6,2.5L,4cyl,26,23,31,"$1,850",5,['T']
328,MIDSIZE CARS,MERCEDES-BENZ,E350 4matic,A-9,2.0L,4cyl,27,24,33,"$2,250",5,"['PR', 'T', 'MHEV', 'SS']"
329,MIDSIZE CARS,MERCEDES-BENZ,E450 4matic,A-9,3.0L,6cyl,25,22,31,"$2,450",5,"['PR', 'MHEV', 'SS']"
330,MIDSIZE CARS,MINI,Cooper Countryman,AM-S7,1.5L,3cyl,28,26,32,"$2,200",6,"['P', 'T', 'SS']"
331,MIDSIZE CARS,MINI,Cooper Countryman All4,A-S8,1.5L,3cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']"
332,MIDSIZE CARS,MINI,Cooper S Clubman,AM-S7,2.0L,4cyl,29,25,35,"$2,100",6,"['P', 'T', 'SS']"
333,MIDSIZE CARS,MINI,Cooper S Clubman,M-6,2.0L,4cyl,25,22,32,"$2,450",5,"['P', 'T', 'SS']"
334,MIDSIZE CARS,MINI,Cooper S Clubman All4,A-S8,2.0L,4cyl,27,23,32,"$2,250",5,"['P', 'T', 'SS']"
335,MIDSIZE CARS,MINI,Cooper S Countryman,AM-S7,2.0L,4cyl,28,24,33,"$2,200",6,"['P', 'T', 'SS']"
336,MIDSIZE CARS,MINI,Cooper S Countryman All4,A-S8,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']"
337,MIDSIZE CARS,MINI,JCW Countryman All4,A-S8,2.0L,4cyl,26,24,30,"$2,350",5,"['P', 'T', 'SS']"
338,MIDSIZE CARS,MINI,John Cooper Works Clubman All4,A-S8,2.0L,4cyl,26,23,31,"$2,350",5,"['P', 'T', 'SS']"
339,MIDSIZE CARS,NISSAN,Altima,AV,2.5L,4cyl,32,27,39,"$1,500",6,[]
340,MIDSIZE CARS,NISSAN,Altima AWD,AV,2.5L,4cyl,30,26,36,"$1,600",6,[]
341,MIDSIZE CARS,NISSAN,Altima SL/SR,AV,2.5L,4cyl,31,27,37,"$1,550",6,[]
342,MIDSIZE CARS,NISSAN,Altima SR,AV-S8,2.0L,4cyl,29,25,34,"$1,650",6,['T']
343,MIDSIZE CARS,NISSAN,Kicks,AV,1.6L,4cyl,33,31,36,"$1,450",6,[]
344,MIDSIZE CARS,NISSAN,Sentra,AV,2.0L,4cyl,34,30,40,"$1,400",7,['SS']
345,MIDSIZE CARS,NISSAN,Sentra SR,AV,2.0L,4cyl,33,30,38,"$1,450",6,['SS']
346,MIDSIZE CARS,SUBARU,Legacy AWD,AV-S8,2.4L,4cyl,26,23,31,"$1,850",5,"['T', 'SS']"
347,MIDSIZE CARS,SUBARU,Legacy AWD,AV-S8,2.5L,4cyl,30,27,35,"$1,600",6,['SS']
348,MIDSIZE CARS,SUBARU,WRX,AV-S8,2.4L,4cyl,21,18,25,"$2,900",4,"['P', 'T']"
349,MIDSIZE CARS,SUBARU,WRX,M-6,2.4L,4cyl,22,19,26,"$2,800",5,"['P', 'T']"
350,MIDSIZE CARS,TOYOTA,Camry,A-S8,3.5L,6cyl,26,22,33,"$1,850",5,[]
351,MIDSIZE CARS,TOYOTA,Camry AWD LE/SE,A-S8,2.5L,4cyl,29,25,34,"$1,650",6,[]
352,MIDSIZE CARS,TOYOTA,Camry AWD XLE/XSE,A-S8,2.5L,4cyl,28,25,34,"$1,700",6,[]
353,MIDSIZE CARS,TOYOTA,Camry Hybrid LE,AV-S6,2.5L,4cyl,52,51,53,$900,8,"['HEV', 'SS']"
354,MIDSIZE CARS,TOYOTA,Camry Hybrid SE/XLE/XSE,AV-S6,2.5L,4cyl,46,44,47,"$1,050",8,"['HEV', 'SS']"
355,MIDSIZE CARS,TOYOTA,Camry LE/SE,A-S8,2.5L,4cyl,32,28,39,"$1,500",6,[]
356,MIDSIZE CARS,TOYOTA,Camry TRD,A-S8,3.5L,6cyl,25,22,31,"$1,900",5,[]
357,MIDSIZE CARS,TOYOTA,Camry XLE/XSE,A-S8,2.5L,4cyl,31,27,38,"$1,550",6,[]
358,MIDSIZE CARS,TOYOTA,Camry XSE,A-S8,3.5L,6cyl,26,22,32,"$1,850",5,[]
359,MIDSIZE CARS,TOYOTA,Crown AWD,AV-S6,2.4L,4cyl,30,29,32,"$1,600",6,"['T', 'HEV', 'SS']"
360,MIDSIZE CARS,TOYOTA,Crown AWD,AV,2.5L,4cyl,41,42,41,"$1,150",7,"['HEV', 'SS']"
361,MIDSIZE CARS,TOYOTA,Prius,AV,2.0L,4cyl,57,57,56,$850,8,"['HEV', 'SS']"
362,MIDSIZE CARS,TOYOTA,Prius AWD,AV,2.0L,4cyl,54,53,54,$900,8,"['PT4', 'HEV', 'SS']"
363,MIDSIZE CARS,TOYOTA,Prius AWD XLE/LTD,AV,2.0L,4cyl,49,49,50,$950,8,"['PT4', 'HEV', 'SS']"
364,MIDSIZE CARS,TOYOTA,Prius XLE/LTD,AV,2.0L,4cyl,52,52,52,$900,8,"['HEV', 'SS']"
365,MIDSIZE CARS,VOLVO,S90 B6 AWD,A-S8,2.0L,4cyl,25,22,31,"$2,450",5,"['PR', 'MHEV', 'SS']"
366,LARGE CARS,ACURA,Integra,AV-S7,1.5L,4cyl,33,30,37,"$1,850",6,"['P', 'T', 'SS']"
367,LARGE CARS,ACURA,Integra,M-6,2.0L,4cyl,24,21,28,"$2,550",5,"['P', 'T']"
368,LARGE CARS,ACURA,Integra A-Spec,AV-S7,1.5L,4cyl,32,29,36,"$1,900",6,"['P', 'T', 'SS']"
369,LARGE CARS,ACURA,Integra A-Spec,M-6,1.5L,4cyl,30,26,36,"$2,050",6,"['P', 'T', 'SS']"
370,LARGE CARS,AUDI,A8 quattro,A-S8,3.0L,6cyl,22,19,28,"$2,800",5,"['P', 'T', 'MHEV', 'SS']"
371,LARGE CARS,AUDI,S8,A-S8,4.0L,8cyl,18,15,24,"$3,400",4,"['P', 'T', 'CD', 'MHEV', 'SS']"
372,LARGE CARS,BMW,740i Sedan,A-S8,3.0L,6cyl,28,25,31,"$2,200",6,"['P', 'T', 'MHEV', 'SS']"
373,LARGE CARS,BMW,740i xDrive Sedan,A-S8,3.0L,6cyl,27,24,31,"$2,250",5,"['P', 'T', 'MHEV', 'SS']"
374,LARGE CARS,BMW,760i xDrive Sedan,A-S8,4.4L,8cyl,20,18,25,"$3,050",4,"['P', 'T', 'MHEV', 'SS']"
375,LARGE CARS,GENESIS,G80 AWD,A-S8,2.5L,4cyl,25,22,30,"$2,450",5,"['P', 'T', 'SS']"
376,LARGE CARS,GENESIS,G80 AWD,A-S8,3.5L,6cyl,19,17,25,"$3,200",4,"['P', 'T', 'SS']"
377,LARGE CARS,GENESIS,G90 AWD,A-S8,3.5L,6cyl,21,18,26,"$2,900",4,"['P', 'T', 'SS']"
378,LARGE CARS,GENESIS,G90 MHEV,A-S8,3.5L,6cyl,20,17,24,"$3,050",4,"['P', 'MHEV', 'SS']"
379,LARGE CARS,HONDA,Accord,AV,1.5L,4cyl,32,29,37,"$1,500",6,"['T', 'SS']"
380,LARGE CARS,HONDA,Accord Hybrid,AV,2.0L,4cyl,48,51,44,"$1,000",8,"['HEV', 'SS']"
381,LARGE CARS,HONDA,Civic 5Dr,AV,1.5L,4cyl,35,31,39,"$1,350",7,"['T', 'SS']"
382,LARGE CARS,HONDA,Civic 5Dr,AV-S7,1.5L,4cyl,33,30,37,"$1,450",6,"['T', 'SS']"
383,LARGE CARS,HONDA,Civic 5Dr,M-6,1.5L,4cyl,31,28,37,"$1,550",6,"['T', 'SS']"
384,LARGE CARS,HONDA,Civic 5Dr,AV,2.0L,4cyl,33,30,38,"$1,450",6,['SS']
385,LARGE CARS,HONDA,Civic 5Dr,AV-S7,2.0L,4cyl,32,29,37,"$1,500",6,['SS']
386,LARGE CARS,HONDA,Civic 5Dr,M-6,2.0L,4cyl,29,26,36,"$1,650",6,['SS']
387,LARGE CARS,HONDA,Civic 5Dr,M-6,2.0L,4cyl,24,22,28,"$2,550",5,"['P', 'T']"
